DIM_GEO_NAME,DIM_GEO_CODE,region,sub-region,DIM_TIME_YEAR,AMR_INFECT_ECOLI,AMR_INFECT_MRSA,FINPROTECTION_CATA_TOT_10_POP,FINPROTECTION_CATA_TOT_25_POP,GHED_GGHE-DGGE_SHA2011,GLASSAMC_AWARE,HWF_0001,HWF_0006,HWF_0010,HWF_0014,MALARIA_EST_INCIDENCE,MCV2,MDG_0000000003,MDG_0000000007,MDG_0000000020,MDG_0000000025,MDG_0000000026,M_Est_tob_curr_std,NCDMORT3070,NCD_BMI_30A,NCD_BMI_PLUS2C,NCD_HYP_PREVALENCE_A,NUTOVERWEIGHTPREV,NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,NUTRITION_WH_2,NUTSTUNTINGPREV,PCV3,PHE_HHAIR_PROP_POP_CLEAN_FUELS,RS_198,SA_0000001688,SDGAIRBODA,SDGFPALL,SDGHEALTHFACILITIESESSENTIALMEDS,SDGHEPHBSAGPRV,SDGHIV,SDGHPVRECEIVED,SDGIHR2021,SDGIPV12M,SDGIPVLT,SDGNTDTREATMENT,SDGODA01,SDGODAWS,SDGPM25,SDGPOISON,SDGSUICIDE,SDGWSHBOD,SUD_TREATMENTSERVICES_COVERAGE,UHC_INDEX_REPORTED,VACCINEPREVENTABLE_WILDPOLIO,VIOLENCE_HOMICIDERATE,WHOSIS_000003,WHS4_100,WSH_DOMESTIC_WASTE_SAFELY_TREATED,WSH_HYGIENE_BASIC,WSH_SANITATION_SAFELY_MANAGED,WSH_WATER_SAFELY_MANAGED,Healthy life expectancy at birth
Canada,CAN,Americas,Northern America,2019,,,3.5,0.800000011921,,,,,,,,,,,,,,,9.59361839294,,,22.1000003815,,10.3999996185,,,,,,9.89647006989,8.11054992676,,,,,,,,,,,,6.70198011398,,,2.29999995232,,,,,,,,,,,71.30000305175781
Canada,CAN,Americas,Northern America,2020,,,,,,,,,6.57399988174,,,,,,,,11.0128698349,,,,,,,,,,,,,,,,,0.340000003576,,,,,,,,,,,,,,,,,,,,,,,71.3499984741211
Canada,CAN,Americas,Northern America,2021,,,,,19.6100006104,,,,,,,,2.4949999134995,,,97.5999984741,,,,,,,,,,,,,4.69999980927,,,,,,,,,,,,,,,0.299334198236,9.44473552704,,,91.0379180908,,1.64122760296,,,,,,,71.4000015258789
Canada,CAN,Americas,Northern America,2022,,,,,,,24.9699993134,103.103996277,,10.4060001373,,79.0,,4.94096803665,5.69999980927,,,12.0,,26.2271194458,10.9432201385,,11.1000003815,,,,85.0,100.0,,,,,,,,86.0,,,,0.0,,,,,,,,,,,3.33022904396,92.0,68.8901596069,,83.9269714355,99.0397262573,71.44999694824219
Canada,CAN,Americas,Northern America,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.1999969482,,,,,,,,,,,,0.0,,,,,,,,71.5
Chad,TCD,Africa,Sub-Saharan Africa,2018,,,9.30000019073,1.39999997616,,,,,,,,,71.15999841678,,,,,,,,,,,,,,,,,,,,,,,,,16.0,29.0,,,,,,,,,,,,,,,,,,51.625
Chad,TCD,Africa,Sub-Saharan Africa,2019,,,,,,,,,,,,,,,,47.2000007629,,,23.9808616638,,,37.9000015259,,45.4000015259,,,,,,3.73055005074,227.43019104,17.5,,,,,,,,,,,54.0054016113,,,99.1999969482,,,,,,,,,,,52.0
Chad,TCD,Africa,Sub-Saharan Africa,2022,,,,,,,0.850000023842,2.09699988365,0.012000000104,0.092000000179,207.407730103,2.0,,102.856300354,140.0,,,7.40000009537,,6.69227981567,3.47427010536,,3.20000004768,,7.8,32.2999992371,,9.5,,,,,,,0.219999998808,,,,,6806996.0,7.01000022888,28.2770996094,,,,,,,,,31.635269165,60.0,2.31577992439,26.2004699707,10.9121904373,6.2470498085,53.125
Chad,TCD,Africa,Sub-Saharan Africa,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0666999817,,,,,,,,,,,,0.0,,,,,,,,53.5
Chile,CHL,Americas,Latin America and the Caribbean,2014,,,,,,,,,,,,,,,,,,,,,,,,,0.300000011921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.22000122070312
